%% Parametrisation of the errors for the KinFit
%%
%% Delta(Var) = A + (B*sqrt(Ejet)) + (C/E) + (D/E*E)
%%
%% Lines structure:
%% Var | Bin Eta | Flavor | A | B | C | D
%%
%% Var = JetEne, JetEta, JetPhi
%% Bin Eta = 0, 1, 2, 3
%%      = <1.4 [1.4, 1.7]  [1.7, 2.6] >2.6
%% Flavor = 1 or 3
%%      Wjet or bjet
%% 
%% Exemple :
%% JetEne 2 1 14.681 0.59403 00
%% Resolution on a W Jet (Flavor=1) Energy (Var=JetEne) in the EndCap (Bin Eta=2) is
%% Delta(E) = 14.681 + 0.59403*sqrt(E)
%%
%%Created on : 2010/11/4 10:59:41 Farida 
%%
%%Parametrisation_starts_here%%
0 0 1 5.213 0.37186 0 0
0 0 3 6.7908 0.4494 0 0
0 1 1 11.063 0.5244 0 0
0 1 3 14.508 0.60283 0 0
0 2 1 9.5988 0.77613 0 0
0 2 3 12.472 0.96589 0 0
0 3 1 9.5988 0.77613 0 0
0 3 3 12.472 0.96589 0 0
1 0 1 0.024297 0 0.10678 0
1 0 3 0.0050023 0 0.25347 0
1 1 1 0.0040858 0 0.52851 31.183
1 1 3 0.0044189 0 0.46106 0
1 2 1 -0.0051262 0 0.73178 0
1 2 3 -0.017374 0 0.91861 0
1 3 1 -0.0051262 0 0.73178 0
1 3 3 -0.017374 0 0.91861 0
2 0 1 0.010694 0 0.26905 0
2 0 3 0.012128 0 0.20481 0
2 1 1 0.015015 0 0.43359 0
2 1 3 -0.0068206 0 0.68828 0
2 2 1 -0.0070468 0 0.84736 0
2 2 3 -0.022923 0 1.0728   0
2 3 1 -0.0070468 0 0.84736 0
2 3 3 -0.022923  0 1.0728  0


